Date,Open,High,Low,Close,Adj Close,Volume
8/01/2018,0.695952,0.695952,0.555769,0.629323,0.629323,249426000
9/01/2018,0.628026,0.649552,0.568159,0.585653,0.585653,208330000
10/01/2018,0.588565,0.588565,0.483044,0.56693,0.56693,249019008
11/01/2018,0.56369,0.613405,0.437407,0.558126,0.558126,330878016
12/01/2018,0.558864,0.71544,0.534755,0.67796,0.67796,394376000
13/01/2018,0.681853,0.721316,0.643237,0.671564,0.671564,189183008
14/01/2018,0.672198,0.672198,0.582819,0.630856,0.630856,116460000
15/01/2018,0.625504,0.670579,0.599138,0.599271,0.599271,345561984
16/01/2018,0.600117,0.600117,0.323407,0.441197,0.441197,466139008
17/01/2018,0.441944,0.503706,0.305034,0.477187,0.477187,486788992
18/01/2018,0.479522,0.57007,0.453596,0.509523,0.509523,472047008
19/01/2018,0.503367,0.535594,0.481281,0.506232,0.506232,207275008
20/01/2018,0.50995,0.547453,0.502153,0.534677,0.534677,204012992
21/01/2018,0.534347,0.534347,0.445113,0.464117,0.464117,161687008
22/01/2018,0.465901,0.529766,0.432834,0.486338,0.486338,442542016
23/01/2018,0.475039,0.518281,0.434858,0.486185,0.486185,207031008
24/01/2018,0.486517,0.589589,0.473565,0.567014,0.567014,669318976
25/01/2018,0.567863,0.649971,0.556165,0.608253,0.608253,627336000
26/01/2018,0.602163,0.64578,0.553197,0.633916,0.633916,787644032
27/01/2018,0.631495,0.63945,0.610086,0.613061,0.613061,216912992
28/01/2018,0.615916,0.640046,0.615448,0.634421,0.634421,194610000
29/01/2018,0.632602,0.632602,0.583512,0.589283,0.589283,118507000
30/01/2018,0.590831,0.590831,0.475736,0.489648,0.489648,178892992
31/01/2018,0.488731,0.555212,0.44052,0.539797,0.539797,288692992
1/02/2018,0.540834,0.54297,0.42968,0.456455,0.456455,172407008
2/02/2018,0.455087,0.455087,0.285878,0.405075,0.405075,396784000
3/02/2018,0.40595,0.478678,0.345184,0.430056,0.430056,282348992
4/02/2018,0.42597,0.467492,0.366818,0.377231,0.377231,231808000
5/02/2018,0.383191,0.42534,0.312975,0.331192,0.331192,339507008
6/02/2018,0.336738,0.374247,0.266352,0.370811,0.370811,518084992
7/02/2018,0.368956,0.380924,0.337244,0.342125,0.342125,188328000
8/02/2018,0.34493,0.373893,0.34493,0.363565,0.363565,121448000
9/02/2018,0.360711,0.402324,0.348872,0.401068,0.401068,144231008
